ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,ramets,above1,above2,above,below1,below2,below,biomass,status
173,15,A,invaded,sterile,Churchill,4,3,2,0.29,1.16,1.91,2.86,5.09,8.23,10.5,8.59,2,0.0666,0.0664,0.0665,0.0168,0.0168,0.0168,0.0833,alive
174,12,B,uninvaded,live,airport,4,3,0,,0.74,1.605,1.855,2.01,2.48,4.61,3.005,2,0.0044,0.0041,0.00425,0.0006,0.0005,0.00055,0.0048,alive
175,14,A,invaded,sterile,Churchill,4,3,0,,0.75,1.485,1.62,3.26,5.62,8.32,6.835,2,0.0106,0.0103,0.01045,0.0012,0.0014,0.0013,0.01175,alive
176,10,B,uninvaded,live,airport,4,3,0,,0.895,dead,,,,,#VALUE!,,,,,,,,NA,dead
177,15,B,uninvaded,sterile,Churchill,4,3,2,0.22,0.79,2.2,4.72,6.235,7.765,7.96,5.76,7,0.0906,0.0909,0.09075,0.0279,0.0276,0.02775,0.1185,alive
178,11,A,invaded,live,airport,4,3,0,,1.01,1.03,2.205,5.08,7.015,8.55,7.52,2,0.0102,0.0099,0.01005,0.0027,0.0021,0.0024,0.01245,alive
179,8,A,invaded,sterile,Churchill,4,3,0,,0.985,1.945,2.86,4.14,6.025,8.7,6.755,3,0.0386,0.0388,0.0387,0.0074,0.0066,0.007,0.0457,alive
180,17,A,invaded,sterile,CNSC,4,3,0,,0.6,0.65,1.16,1.43,2.02,3.41,2.76,1,0.0021,0.0019,0.002,0.0004,0.0007,0.00055,0.00255,alive
181,6,A,invaded,sterile,Churchill,4,3,0,,0.985,1.36,2.205,4.25,6.795,9.145,7.785,3,0.0271,0.0269,0.027,0.0062,0.0065,0.00635,0.03335,alive
182,6,B,uninvaded,live,Churchill,4,3,2,0.23,0.88,2.035,2.2,dead,,,-2.035,,,,,,,,NA,dead
183,16,B,uninvaded,sterile,airport,4,3,2,0.25,0.62,dead,,,,,#VALUE!,,,,,,,,NA,dead
184,13,A,invaded,sterile,airport,4,3,2,0.21,0.7,dead,,,,,#VALUE!,,,,,,,,NA,dead
185,7,A,invaded,live,Churchill,4,3,0,,0.68,2.015,3.81,6.48,8.975,11.195,9.18,5,0.0585,0.0582,0.05835,0.0107,0.0103,0.0105,0.06885,alive
186,17,A,invaded,live,CNSC,4,3,0,,0.855,1.74,4.02,6.73,9.145,12.27,10.53,4,0.0911,0.0912,0.09115,0.0227,0.0224,0.02255,0.1137,alive
187,16,A,invaded,live,airport,4,3,0,,0.51,1.355,1.85,3.1,4.51,5.1,3.745,3,0.0051,0.0048,0.00495,0.0011,0.0008,0.00095,0.0059,alive
188,10,A,invaded,live,airport,4,3,0,,0.65,1.95,2.775,5.05,6.625,7.885,5.935,4,0.0127,0.0124,0.01255,0.0023,0.002,0.00215,0.0147,alive
189,13,A,invaded,live,airport,4,3,2,0.22,0.905,1.76,2.67,4.22,7.4,10.64,8.88,3,0.0908,0.0909,0.09085,0.0281,0.0284,0.02825,0.1191,alive
190,9,B,uninvaded,live,airport,4,3,0,,0.71,2.18,3.64,5.48,7.685,10,7.82,4,0.0868,0.0864,0.0866,0.0185,0.018,0.01825,0.10485,alive
191,15,B,uninvaded,live,Churchill,4,3,0,,0.695,1.335,1.52,1.66,dead,,-1.335,,,,,,,,NA,dead
192,7,B,uninvaded,sterile,Churchill,4,3,0,,0.515,0.965,1.21,1.23,3.3,6.14,5.175,3,0.0181,0.0178,0.01795,0.0035,0.0041,0.0038,0.02175,alive
193,14,B,uninvaded,sterile,Churchill,4,3,0,,0.745,1.745,3.58,5.51,8.85,11.56,9.815,3,0.0929,0.0925,0.0927,0.0252,0.0257,0.02545,0.11815,alive
194,14,B,uninvaded,live,Churchill,4,3,0,,1.01,2.135,4.835,8.03,11.79,13.12,10.985,2,0.0645,0.0647,0.0646,0.0142,0.0142,0.0142,0.0788,alive
195,18,A,invaded,sterile,CNSC,4,3,0,,0.58,dead,,,,,#VALUE!,,,,,,,,NA,dead
196,9,A,invaded,sterile,airport,4,3,0,,0.6,2.235,3.385,6.03,9.735,12.835,10.6,4,0.0453,0.0449,0.0451,0.0079,0.0084,0.00815,0.05325,alive
197,17,B,uninvaded,live,CNSC,4,3,0,,0.65,1.73,3.1,5.97,8.68,9.88,8.15,5,0.1068,0.1065,0.10665,0.0308,0.0305,0.03065,0.1373,alive
198,6,B,uninvaded,sterile,Churchill,4,3,0,,0.5,1.12,1.695,2.8,4.21,6.115,4.995,4,0.0154,0.0152,0.0153,0.003,0.0026,0.0028,0.0181,alive
199,12,A,invaded,sterile,airport,4,3,0,,0.715,1.91,3.75,6.11,8.85,9.99,8.08,3,0.0487,0.0488,0.04875,0.0123,0.0126,0.01245,0.0612,alive
200,13,B,uninvaded,live,airport,4,3,2,0.22,0.8,1.15,1.52,3.48,5.915,8.57,7.42,4,0.0428,0.0426,0.0427,0.007,0.0077,0.00735,0.05005,alive
201,12,A,invaded,live,airport,4,3,0,,0.74,1.44,3.05,6.61,9.415,13.25,11.81,4,0.0908,0.0901,0.09045,0.0165,,0.0165,0.10695,alive
202,10,B,uninvaded,sterile,airport,4,3,2,0.28,1.08,1.995,4.155,7.09,9.84,11.32,9.325,3,0.1419,0.1411,0.1415,0.0392,0.0389,0.03905,0.18055,alive
203,16,A,invaded,sterile,airport,4,3,0,,0.57,0.73,dead,,,,-0.73,,,,,,,,NA,dead
204,11,A,invaded,sterile,airport,4,3,0,,0.92,2.025,3.43,4.99,6.96,8.285,6.26,1,0.0092,0.0087,0.00895,0.0037,0.0031,0.0034,0.01235,alive
205,9,B,uninvaded,sterile,airport,4,3,2,0.23,0.645,0.745,1.24,2.055,2.755,3.7,2.955,1,0.0055,0.0049,0.0052,0.0044,0.0047,0.00455,0.00975,alive
206,17,B,uninvaded,sterile,CNSC,4,3,2,0.22,0.67,0.94,1.985,4.54,6.65,9.925,8.985,5,0.0602,0.0599,0.06005,0.0102,0.0102,0.0102,0.07025,alive
207,11,B,uninvaded,sterile,airport,4,3,2,0.265,1.01,1.91,4.66,8.62,12.79,14.59,12.68,3,0.1662,0.1667,0.16645,0.0429,0.0427,0.0428,0.20925,alive
208,7,B,uninvaded,live,Churchill,4,3,0,,0.805,1.45,3.66,7.645,10.835,13.4,11.95,5,0.1406,0.1405,0.14055,0.0241,0.0245,0.0243,0.16485,alive
209,1,A,invaded,sterile,Churchill,4,3,0,,0.76,0.955,2.5,3.4,5.76,9.215,8.26,4,0.1219,0.1223,0.1221,0.0236,0.0232,0.0234,0.1455,alive
210,18,B,uninvaded,live,CNSC,4,3,2,0.23,0.88,1.525,2.59,2.935,4.48,5.8,4.275,2,0.0047,0.0043,0.0045,0.0008,0.0007,0.00075,0.00525,alive
211,7,A,invaded,sterile,Churchill,4,3,2,0.18,0.52,1.505,3.34,5.73,8.3,11.63,10.125,4,0.1552,0.1555,0.15535,0.0422,0.042,0.0421,0.19745,alive
212,18,B,uninvaded,sterile,CNSC,4,3,0,,0.57,0.9,1.21,1.5,2.36,4.015,3.115,1,0.0014,0.001,0.0012,0.0003,0.0003,0.0003,0.0015,alive
213,1,B,uninvaded,live,Churchill,4,3,0,,0.84,1.805,3.775,6.29,6.7,13.6,11.795,1,0.2031,0.2025,0.2028,0.0623,0.0623,0.0623,0.2651,alive
214,8,A,invaded,live,Churchill,4,3,0,,1.29,1.98,2.92,5.05,7.635,11.2,9.22,4,0.0648,0.0645,0.06465,0.0173,0.0174,0.01735,0.082,alive
215,8,B,uninvaded,sterile,Churchill,4,3,0,,0.76,1.28,1.32,1.44,dead,,-1.28,,,,,,,,NA,dead
216,11,B,uninvaded,live,airport,4,3,2,0.25,0.54,1.245,3.38,4.8,7.23,9.805,8.56,3,0.1017,0.1018,0.10175,0.0201,0.0205,0.0203,0.12205,alive
217,8,B,uninvaded,live,Churchill,4,3,0,,0.68,0.775,dead,,,,-0.775,,,,,,,,NA,dead
218,15,A,invaded,live,Churchill,4,3,0,,0.61,0.99,1.765,2.69,4.22,6.81,5.82,1,0.0222,0.0223,0.02225,0.0036,0.0032,0.0034,0.02565,alive
219,13,B,uninvaded,sterile,airport,4,3,0,,0.595,dead,,,,,#VALUE!,,,,,,,,NA,dead
220,14,A,invaded,live,Churchill,4,3,0,,0.53,1.525,2.145,4.68,7.88,10.42,8.895,5,0.0851,0.0855,0.0853,0.0239,0.0235,0.0237,0.109,alive
221,16,B,uninvaded,live,airport,4,3,2,0.28,0.98,3.51,5.78,7.945,9.67,10.09,6.58,4,0.1743,0.1738,0.17405,0.01222,0.01225,0.012235,0.186285,alive
222,12,B,uninvaded,sterile,airport,4,3,2,0.22,0.505,0.73,1.215,2.685,4.45,6.72,5.99,4,0.0374,0.0367,0.03705,0.0082,0.0085,0.00835,0.0454,alive
223,6,A,invaded,live,Churchill,4,3,0,,0.565,1.33,1.82,2.82,4.21,5.29,3.96,2,0.0186,0.0188,0.0187,0.003,0.0029,0.00295,0.02165,alive
224,1,A,invaded,live,Churchill,4,3,2,0.21,0.71,1.44,3.63,7.145,11.05,15.345,13.905,2,0.1858,0.1855,0.18565,0.0433,0.0436,0.04345,0.2291,alive
