ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
122,12,A,invaded,live,airport,3,1,2,0.195,0.745,0.855,2.21,3.39,5.895,8.05,7.305,0.0394,0.0397,0.03955,0.0011,0.0008,0.00095,0.0405,alive
123,9,B,uninvaded,live,airport,3,1,2,0.295,0.68,1.49,2.2,4.36,6.41,8.24,7.56,0.0728,0.0726,0.0727,0.0278,0.028,0.0279,0.1006,alive
124,18,A,invaded,sterile,CNSC,3,1,2,0.335,1.72,2.025,4.275,6.495,9.495,11.55,9.83,0.0851,0.0853,0.0852,0.026,0.0257,0.02585,0.11105,alive
125,7,A,invaded,live,Churchill,3,1,2,0.18,0.685,1.17,1.735,2.1,2.48,2.72,2.035,,,,,,,NA,dead
126,18,B,uninvaded,sterile,CNSC,3,1,2,0.19,0.81,1.505,dead,replanted,,,-0.81,,,,,,,NA,dead
127,18,B,uninvaded,live,CNSC,3,1,2,0.295,1.085,1.3,1.745,2.38,4.315,5.175,4.09,0.0162,0.0161,0.01615,0.0063,0.0062,0.00625,0.0224,alive
128,16,A,invaded,live,airport,3,1,2,0.25,0.855,1.1,1.62,dead,replanted,,-0.855,,,#DIV/0!,,,,NA,dead
129,1,A,invaded,sterile,Churchill,3,1,2,0.28,0.94,0.99,1.665,3.32,5.055,6.85,5.91,0.0548,0.0542,0.0545,0.0174,0.0168,0.0171,0.0716,alive
130,11,A,invaded,sterile,airport,3,1,2,0.25,0.92,1.38,dead,replanted,,,-0.92,,,,,,,NA,dead
131,10,B,uninvaded,live,airport,3,1,2,0.38,0.675,1.165,1.95,dead,replanted,,-0.675,,,,,,,NA,dead
132,6,A,invaded,sterile,Churchill,3,1,2,0.41,0.875,1.09,2.25,4.66,7.695,10.545,9.67,,,,0.0194,0.0197,0.01955,NA,dead
133,16,B,uninvaded,live,airport,3,1,4,0.25,0.565,0.835,1.675,2.48,3.315,5.56,4.995,0.0439,0.0438,0.04385,0.0075,0.0072,0.00735,0.0512,alive
134,8,A,invaded,live,Churchill,3,1,2,0.185,0.49,1.53,2.86,4.98,5.985,7.11,6.62,0.0106,0.0102,0.0104,0.0012,0.0016,0.0014,0.0118,alive
135,7,A,invaded,sterile,Churchill,3,1,0,,0.89,1.045,dead,replanted,,,-0.89,,,,,,,NA,dead
136,13,B,uninvaded,live,airport,3,1,2,0.37,0.705,2,4.275,7.52,10.435,13.89,13.185,0.1302,0.1308,0.1305,0.0365,0.0363,0.0364,0.1669,alive
137,13,A,invaded,sterile,airport,3,1,2,0.28,0.845,1.1,2.845,4.575,6.455,8.995,8.15,0.1141,0.1144,0.11425,0.0414,0.0415,0.04145,0.1557,alive
138,11,B,uninvaded,sterile,airport,3,1,2,0.185,0.645,1.02,1.975,3.415,5.31,7.68,7.035,0.0661,0.0664,0.06625,0.0326,0.0323,0.03245,0.0987,alive
139,10,B,uninvaded,sterile,airport,3,1,2,0.205,0.725,1.31,1.76,2.375,2.7,,-0.725,,,,,,,NA,dead
140,10,A,invaded,live,airport,3,1,2,0.285,1.005,1.115,2.33,3.38,4.35,6.005,5,0.0374,0.0368,0.0371,0.0171,0.0168,0.01695,0.05405,alive
141,14,B,uninvaded,live,Churchill,3,1,2,0.195,0.725,1.275,dead,replanted,,,-0.725,,,,,,,NA,dead
